cprd_prodcode	description	description2	bnf_code
65228	Candesartan 16mg tablets (Mawdsley-Brooks & Company Ltd)	Candesartan cilexetil	2050502
66624	Candesartan 16mg tablets (Sandoz Ltd)	Candesartan cilexetil	2050502
53680	Candesartan 16mg tablets (Teva UK Ltd)	Candesartan cilexetil	2050502
62035	Candesartan 16mg tablets (Waymade Healthcare Plc)	Candesartan cilexetil	2050502
529	Candesartan 2mg tablets	Candesartan cilexetil	2050502
65479	Candesartan 2mg tablets (A A H Pharmaceuticals Ltd)	Candesartan cilexetil	2050502
57266	Candesartan 2mg tablets (Actavis UK Ltd)	Candesartan cilexetil	2050502
59802	Candesartan 2mg tablets (Teva UK Ltd)	Candesartan cilexetil	2050502
7043	Candesartan 32mg tablets	Candesartan cilexetil	2050502
54326	Candesartan 32mg tablets (Teva UK Ltd)	Candesartan cilexetil	2050502
531	Candesartan 4mg tablets	Candesartan cilexetil	2050502
58646	Candesartan 4mg tablets (Actavis UK Ltd)	Candesartan cilexetil	2050502
64359	Candesartan 4mg tablets (DE Pharmaceuticals)	Candesartan cilexetil	2050502
51647	Candesartan 4mg tablets (Mawdsley-Brooks & Company Ltd)	Candesartan cilexetil	2050502
62140	Candesartan 4mg tablets (Sandoz Ltd)	Candesartan cilexetil	2050502
53755	Candesartan 4mg tablets (Teva UK Ltd)	Candesartan cilexetil	2050502
4818	Candesartan 8mg tablets	Candesartan cilexetil	2050502
51519	Candesartan 8mg tablets (A A H Pharmaceuticals Ltd)	Candesartan cilexetil	2050502
57273	Candesartan 8mg tablets (Actavis UK Ltd)	Candesartan cilexetil	2050502
59690	Candesartan 8mg tablets (Consilient Health Ltd)	Candesartan cilexetil	2050502
51117	Candesartan 8mg tablets (DE Pharmaceuticals)	Candesartan cilexetil	2050502
66958	Candesartan 8mg tablets (Sandoz Ltd)	Candesartan cilexetil	2050502
50185	Candesartan 8mg tablets (Teva UK Ltd)	Candesartan cilexetil	2050502
57026	Candesartan 8mg tablets (Waymade Healthcare Plc)	Candesartan cilexetil	2050502
52559	Candesartan 8mg tablets (Zentiva)	Candesartan cilexetil	2050502
18269	Acepril 12.5mg tablets (Bristol-Myers Squibb Pharmaceuticals Ltd)	Captopril	2050501
3069	Acepril 25mg tablets (Bristol-Myers Squibb Pharmaceuticals Ltd)	Captopril	2050501
18325	Acepril 50mg tablets (Bristol-Myers Squibb Pharmaceuticals Ltd)	Captopril	2050501
3310	Capoten 12.5mg tablets (Bristol-Myers Squibb Pharmaceuticals Ltd)	Captopril	2050501
56509	Capoten 12.5mg tablets (Dowelhurst Ltd)	Captopril	2050501
1144	Capoten 25mg tablets (Bristol-Myers Squibb Pharmaceuticals Ltd)	Captopril	2050501
3839	Capoten 50mg tablets (Bristol-Myers Squibb Pharmaceuticals Ltd)	Captopril	2050501
25998	Captomex 12.5mg tablets (Actavis UK Ltd)	Captopril	2050501
28820	Captomex 25mg tablets (Actavis UK Ltd)	Captopril	2050501
24482	Captomex 50mg tablets (Actavis UK Ltd)	Captopril	2050501
8923	CAPTOPRIL 100 MG TAB	0	0
66597	Captopril 10mg/5ml oral suspension	Captopril	2050501
33646	Captopril 12.5mg Tablet (Generics (UK) Ltd)	Captopril	2050501
34544	Captopril 12.5mg Tablet (IVAX Pharmaceuticals UK Ltd)	Captopril	2050501
1121	Captopril 12.5mg tablets	Captopril	2050501
46951	Captopril 12.5mg tablets (A A H Pharmaceuticals Ltd)	Captopril	2050501
41633	Captopril 12.5mg tablets (Actavis UK Ltd)	Captopril	2050501
46957	Captopril 12.5mg tablets (Tillomed Laboratories Ltd)	Captopril	2050501
58195	Captopril 12.5mg/5ml oral solution	Captopril	2050501
35302	Captopril 12.5mg/5ml oral suspension	Captopril	2050501
43507	Captopril 25mg Tablet (Generics (UK) Ltd)	Captopril	2050501
34562	Captopril 25mg Tablet (IVAX Pharmaceuticals UK Ltd)	Captopril	2050501
34936	Captopril 25mg Tablet (Lagap)	Captopril	2050501
1143	Captopril 25mg tablets	Captopril	2050501
43649	Captopril 25mg tablets (A A H Pharmaceuticals Ltd)	Captopril	2050501
41617	Captopril 25mg tablets (Actavis UK Ltd)	Captopril	2050501
37655	Captopril 25mg tablets (Teva UK Ltd)	Captopril	2050501
52499	Captopril 25mg/5ml oral solution	Captopril	2050501
64739	Captopril 25mg/5ml oral solution (Special Order)	Captopril	2050501
59915	Captopril 25mg/5ml oral solution sugar free	Captopril	2050501
39512	Captopril 25mg/5ml oral suspension	Captopril	2050501
54544	Captopril 25mg/5ml oral suspension	Captopril	2050501
52293	Captopril 2mg capsules	Captopril	2050501
15958	Captopril 2mg tablets	Captopril	2050501
36742	Captopril 2mg/5ml oral suspension	Captopril	2050501
17633	Captopril 3mg/5ml oral solution	Captopril	2050501
217	CAPTOPRIL 4 MG/ML LIQ	0	0
34719	Captopril 50mg Tablet (Generics (UK) Ltd)	Captopril	2050501
34937	Captopril 50mg Tablet (IVAX Pharmaceuticals UK Ltd)	Captopril	2050501
1807	Captopril 50mg tablets	Captopril	2050501
41743	Captopril 50mg tablets (Teva UK Ltd)	Captopril	2050501
46851	Captopril 5mg/5ml oral solution	Captopril	2050501
59699	Captopril 5mg/5ml oral solution sugar free	0	2050501
17624	Captopril 5mg/5ml oral suspension	Captopril	2050501
33336	Captopril 5mg/5ml Oral suspension (Eldon Laboratories)	Captopril	2050501
44527	Captopril 5mg/ml oral solution sugar free	Captopril	2050501
43432	Captopril 6.25mg tablets	Captopril	2050501
28486	Captopril 6.25mg/5ml oral suspension	Captopril	2050501
45228	Captopril capsules	Captopril	2050501
56850	Ecopace 12.5mg tablets (AMCo)	Captopril	2050501
32514	Ecopace 25mg tablets (AMCo)	Captopril	2050501
21943	Kaplon 12.5mg tablets (Teva UK Ltd)	Captopril	2050501
26995	Kaplon 25mg tablets (Teva UK Ltd)	Captopril	2050501
32048	Kaplon 50mg tablets (Teva UK Ltd)	Captopril	2050501
64902	Lisinopril 5mg/5ml oral solution sugar free	0	2050501
60349	Noyada 25mg/5ml oral solution (Martindale Pharmaceuticals Ltd)	Captopril	2050501
20849	Tensopril 12.5mg tablets (Teva UK Ltd)	Captopril	2050501
30039	Tensopril 25mg tablets (Teva UK Ltd)	Captopril	2050501
23478	Tensopril 50mg tablets (Teva UK Ltd)	Captopril	2050501
11641	Captopril 25mg with Hydrochlorothiazide 12.5mg tablets	Captopril/Hydrochlorothiazide	02020100/02050501
10902	Captopril 50mg with Hydrochlorothiazide 25mg tablets	Captopril/Hydrochlorothiazide	02020100/02050501
15135	Hydrochlorothiazide with captopril 12.5mg with 25mg Tablet	Captopril/Hydrochlorothiazide	02020100/02050501
11133	Hydrochlorothiazide with captopril 25mg with 50mg Tablet	Captopril/Hydrochlorothiazide	02020100/02050501
15605	Cilazapril 250micrograms tablets	Cilazapril	2050501
23642	Vascace 0.25mg Tablet (Roche Products Ltd)	Cilazapril	2050501
12574	Cilazapril 1mg tablets	Cilazapril monohydrate	2050501
12412	Cilazapril 2.5mg tablets	Cilazapril monohydrate	2050501
12411	Cilazapril 500microgram tablets	Cilazapril monohydrate	2050501
13026	Cilazapril 5mg tablets	Cilazapril monohydrate	2050501
16212	Vascace 1mg tablets (Roche Products Ltd)	Cilazapril monohydrate	2050501
16197	Vascace 2.5mg tablets (Roche Products Ltd)	Cilazapril monohydrate	2050501
21053	Vascace 500microgram tablets (Roche Products Ltd)	Cilazapril monohydrate	2050501
16196	Vascace 5mg tablets (Roche Products Ltd)	Cilazapril monohydrate	2050501
22004	CARACE (SPECIAL COMPLIANCE PACK)	0	0
24693	CARACE (SPECIAL COMPLIANCE PACK)	0	0
23382	CARACE (SPECIAL COMPLIANCE PACK)	0	0
36753	Ednyt 10mg Tablet (Dominion Pharma)	Enalapril maleate	2050501
44657	Ednyt 2.5mg Tablet (Dominion Pharma)	Enalapril maleate	2050501
22439	Ednyt 20mg Tablet (Dominion Pharma)	Enalapril maleate	2050501
33057	Ednyt 5mg Tablet (Dominion Pharma)	Enalapril maleate	2050501
58751	Enalapril 1.25mg/5ml oral suspension	Enalapril maleate	2050501
1299	Enalapril 10mg tablets	Enalapril maleate	2050501
32241	Enalapril 10mg tablets (A A H Pharmaceuticals Ltd)	Enalapril maleate	2050501
19208	Enalapril 10mg tablets (Actavis UK Ltd)	Enalapril maleate	2050501
52010	Enalapril 10mg tablets (Alliance Healthcare (Distribution) Ltd)	Enalapril maleate	2050501
63322	Enalapril 10mg tablets (Almus Pharmaceuticals Ltd)	Enalapril maleate	2050501
55903	Enalapril 10mg tablets (Dexcel-Pharma Ltd)	Enalapril maleate	2050501
34952	Enalapril 10mg tablets (Mylan Ltd)	Enalapril maleate	2050501
61133	Enalapril 10mg tablets (Phoenix Healthcare Distribution Ltd)	Enalapril maleate	2050501
41746	Enalapril 10mg tablets (Sandoz Ltd)	Enalapril maleate	2050501
42894	Enalapril 10mg tablets (Teva UK Ltd)	Enalapril maleate	2050501
13755	Enalapril 10mg wafer	Enalapril Maleate	2050501
66895	Enalapril 10mg/5ml oral suspension	Enalapril maleate	2050501
448	Enalapril 2.5mg tablets	Enalapril maleate	2050501
41417	Enalapril 2.5mg tablets (A A H Pharmaceuticals Ltd)	Enalapril maleate	2050501
64877	Enalapril 2.5mg tablets (Dexcel-Pharma Ltd)	Enalapril maleate	2050501
41694	Enalapril 2.5mg tablets (IVAX Pharmaceuticals UK Ltd)	Enalapril maleate	2050501
28127	Enalapril 2.5mg tablets (Teva UK Ltd)	Enalapril maleate	2050501
43563	Enalapril 2.5mg tablets (Zentiva)	Enalapril maleate	2050501
20188	Enalapril 2.5mg wafer	Enalapril Maleate	2050501
57882	Enalapril 2.5mg/5ml oral suspension	Enalapril maleate	2050501
1904	Enalapril 20mg tablets	Enalapril maleate	2050501
33078	Enalapril 20mg tablets (A A H Pharmaceuticals Ltd)	Enalapril maleate	2050501
31716	Enalapril 20mg tablets (Actavis UK Ltd)	Enalapril maleate	2050501
53719	Enalapril 20mg tablets (Alliance Healthcare (Distribution) Ltd)	Enalapril maleate	2050501
34768	Enalapril 20mg tablets (IVAX Pharmaceuticals UK Ltd)	Enalapril maleate	2050501
34712	Enalapril 20mg tablets (Kent Pharmaceuticals Ltd)	Enalapril maleate	2050501
59996	Enalapril 20mg tablets (Milpharm Ltd)	Enalapril maleate	2050501
34453	Enalapril 20mg tablets (Mylan Ltd)	Enalapril maleate	2050501
34798	Enalapril 20mg tablets (Sandoz Ltd)	Enalapril maleate	2050501
42902	Enalapril 20mg tablets (Teva UK Ltd)	Enalapril maleate	2050501
34953	Enalapril 20mg tablets (Zentiva)	Enalapril maleate	2050501
24041	Enalapril 20mg wafer	Enalapril Maleate	2050501
50780	Enalapril 2mg/5ml oral solution	Enalapril maleate	2050501
57378	Enalapril 2mg/5ml oral suspension	Enalapril maleate	2050501
50334	Enalapril 4mg/5ml oral suspension	Enalapril maleate	2050501
34400	Enalapril 5mg Tablet (Dowelhurst Ltd)	Enalapril maleate	2050501
196	Enalapril 5mg tablets	Enalapril maleate	2050501
35794	Enalapril 5mg tablets (A A H Pharmaceuticals Ltd)	Enalapril maleate	2050501
62860	Enalapril 5mg tablets (DE Pharmaceuticals)	Enalapril maleate	2050501
53915	Enalapril 5mg tablets (Dexcel-Pharma Ltd)	Enalapril maleate	2050501
42908	Enalapril 5mg tablets (IVAX Pharmaceuticals UK Ltd)	Enalapril maleate	2050501
45217	Enalapril 5mg tablets (Kent Pharmaceuticals Ltd)	Enalapril maleate	2050501
60143	Enalapril 5mg tablets (Medreich Plc)	Enalapril maleate	2050501
46974	Enalapril 5mg tablets (Mylan Ltd)	Enalapril maleate	2050501
43411	Enalapril 5mg tablets (Sandoz Ltd)	Enalapril maleate	2050501
42901	Enalapril 5mg tablets (Teva UK Ltd)	Enalapril maleate	2050501
22708	Enalapril 5mg wafer	Enalapril Maleate	2050501
37080	Enalapril 5mg/5ml oral solution	Enalapril maleate	2050501
50863	Enalapril 5mg/5ml oral solution (Drug Tariff Special Order)	Enalapril maleate	2050501
37087	Enalapril 5mg/5ml oral suspension	Enalapril maleate	2050501
52882	Enalapril 5mg/5ml oral suspension sugar free	Enalapril maleate	2050501
27890	ENALAPRIL MALEATE	0	0
3509	ENALAPRIL MALEATE 40 MG TAB	0	0
16708	Enalapril titration pack	Enalapril Maleate	2050501
8830	Innovace 10mg tablets (Merck Sharp & Dohme Ltd)	Enalapril maleate	2050501
8106	Innovace 2.5mg tablets (Merck Sharp & Dohme Ltd)	Enalapril maleate	2050501
8105	Innovace 20mg tablets (Merck Sharp & Dohme Ltd)	Enalapril maleate	2050501
8800	Innovace 5mg tablets (Merck Sharp & Dohme Ltd)	Enalapril maleate	2050501
27871	Innovace melt 10mg Wafer (Merck Sharp & Dohme Ltd)	Enalapril Maleate	2050501
29530	Innovace melt 2.5mg Wafer (Merck Sharp & Dohme Ltd)	Enalapril Maleate	2050501
31587	Innovace melt 20mg Wafer (Merck Sharp & Dohme Ltd)	Enalapril Maleate	2050501
11197	Innovace melt 5mg Wafer (Merck Sharp & Dohme Ltd)	Enalapril Maleate	2050501
15085	Innovace Titration pack (Merck Sharp & Dohme Ltd)	Enalapril Maleate	2050501
60823	Noyada 5mg/5ml oral solution (Martindale Pharmaceuticals Ltd)	0	2050501
23252	Pralenal 10 tablets (Opus Pharmaceuticals Ltd)	Enalapril maleate	2050501
42723	Pralenal 5 tablets (Opus Pharmaceuticals Ltd)	Enalapril maleate	2050501
5189	Enalapril 20mg / Hydrochlorothiazide 12.5mg tablets	Enalapril maleate/Hydrochlorothiazide	02020100/02050501
1021	Innozide 20mg/12.5mg tablets (Merck Sharp & Dohme Ltd)	Enalapril maleate/Hydrochlorothiazide	02020100/02050501
6939	Eprosartan 300mg tablets	Eprosartan mesilate	2050502
13123	Eprosartan 400mg tablets	Eprosartan mesilate	2050502
12836	Eprosartan 600mg tablets	Eprosartan mesilate	2050502
63337	Eprosartan 600mg tablets (A A H Pharmaceuticals Ltd)	Eprosartan mesilate	2050502
9745	Teveten 300mg tablets (Mylan Ltd)	Eprosartan mesilate	2050502
16285	Teveten 400mg tablets (Abbott Healthcare Products Ltd)	Eprosartan mesilate	2050502
16371	Teveten 600mg tablets (Mylan Ltd)	Eprosartan mesilate	2050502
633	Fosinopril 10mg tablets	Fosinopril sodium	2050501
5861	Fosinopril 20mg tablets	Fosinopril sodium	2050501
4571	Staril 10mg tablets (Bristol-Myers Squibb Pharmaceuticals Ltd)	Fosinopril sodium	2050501
13589	Staril 20mg tablets (Bristol-Myers Squibb Pharmaceuticals Ltd)	Fosinopril sodium	2050501
47573	Sevikar HCT 40mg/5mg/12.5mg tablets (Daiichi Sankyo UK Ltd)	Amlodipine besilate/Hydrochlorothiazide/Olmesartan medoxomil	2050502
60007	Generic Sevikar HCT 40mg/10mg/12.5mg tablets	0	2050502
47616	Sevikar HCT 40mg/10mg/12.5mg tablets (Daiichi Sankyo UK Ltd)	Hydrochlorothiazide/amlodipine/olmesartan Medoxomil	2050502
47727	Sevikar HCT 40mg/5mg/25mg tablets (Daiichi Sankyo UK Ltd)	Hydrochlorothiazide/amlodipine/olmesartan Medoxomil	2050502
18263	Acezide 25mg/50mg tablets (Bristol-Myers Squibb Pharmaceuticals Ltd)	Hydrochlorothiazide/Captopril	2050501
25051	CAPOZIDE	0	0
1520	Capozide 25mg/50mg tablets (Bristol-Myers Squibb Pharmaceuticals Ltd)	Hydrochlorothiazide/Captopril	02020100/02050501
39227	Capozide LS 12.5mg/25mg tablets (Bristol-Myers Squibb Pharmaceuticals Ltd)	Hydrochlorothiazide/Captopril	2050501
3203	Capozide LS Tablet (E R Squibb and Sons Ltd)	Hydrochlorothiazide/Captopril	02020100/02050501
32166	Capto-co 25mg+50mg Tablet (IVAX Pharmaceuticals UK Ltd)	Hydrochlorothiazide/Captopril	02020100/02050501
11561	Co-zidocapt 12.5mg/25mg tablets	Hydrochlorothiazide/Captopril	02020100/02050501
11351	Co-zidocapt 25mg/50mg tablets	Hydrochlorothiazide/Captopril	02020100/02050501
37650	Losartan 100mg / Hydrochlorothiazide 12.5mg tablets	Hydrochlorothiazide/losartan Potassium	2050504
35380	Hydrochlorothiazide with olmesartan medoxomil 12.5mg with 20mg tablet	Hydrochlorothiazide/Olmesartan Medoxomil	02020100/02050502
39021	Hydrochlorothiazide with olmesartan medoxomil 25mg with 20mg tablet	Hydrochlorothiazide/Olmesartan Medoxomil	02020100/02050502
18200	Olmesartan medoxomil 20mg / Hydrochlorothiazide 12.5mg tablets	Olmesartan medoxomil/Hydrochlorothiazide	02020100/02050502
18903	Olmesartan medoxomil 20mg / Hydrochlorothiazide 25mg tablets	Hydrochlorothiazide/olmesartan Medoxomil	02020100/02050502
43322	Olmesartan medoxomil 40mg / Hydrochlorothiazide 12.5mg tablets	Olmesartan medoxomil/Hydrochlorothiazide	02020100/02050502
29634	Olmetec Plus 20mg/12.5mg tablets (Daiichi Sankyo UK Ltd)	Olmesartan medoxomil/Hydrochlorothiazide	02020100/02050502
43915	Olmetec Plus 40mg/12.5mg tablets (Daiichi Sankyo UK Ltd)	Olmesartan medoxomil/Hydrochlorothiazide	02020100/02050502
15031	Accuretic 12.5mg/10mg tablets (Pfizer Ltd)	Hydrochlorothiazide/Quinapril hydrochloride	2050501
15108	Quinapril 10mg / Hydrochlorothiazide 12.5mg tablets	Hydrochlorothiazide/Quinapril hydrochloride	2050501
38889	MicardisPlus 80mg/25mg tablets (Boehringer Ingelheim Ltd)	Hydrochlorothiazide/telmisartan	2050504
38459	Telmisartan 80mg / Hydrochlorothiazide 25mg tablets	Hydrochlorothiazide/telmisartan	2050504
764	Co-Diovan 80mg/12.5mg tablets (Novartis Pharmaceuticals UK Ltd)	Hydrochlorothiazide/Valsartan	2050504
52858	Co-Diovan 80mg/12.5mg tablets (Sigma Pharmaceuticals Plc)	Hydrochlorothiazide/Valsartan	2050504
16060	Valsartan 80mg / Hydrochlorothiazide 12.5mg tablets	Hydrochlorothiazide/Valsartan	2050504
12858	Imidapril 10mg tablets	Imidapril hydrochloride	2050501
18219	Imidapril 20mg tablets	Imidapril hydrochloride	2050501
16924	Imidapril 5mg tablets	Imidapril hydrochloride	2050501
12815	Tanatril 10mg tablets (Mitsubishi Tanabe Pharma Europe Ltd)	Imidapril hydrochloride	2050501
32560	Tanatril 20mg tablets (Mitsubishi Tanabe Pharma Europe Ltd)	Imidapril hydrochloride	2050501
6408	Tanatril 5mg tablets (Mitsubishi Tanabe Pharma Europe Ltd)	Imidapril hydrochloride	2050501
37978	Perindopril arginine 5mg / Indapamide 1.25mg tablets	Indapamide/perindopril Arginine	02020100/02050501
9196	Aprovel 150mg tablets (Sanofi)	Irbesartan	2050502
11348	Aprovel 300mg tablets (Sanofi)	Irbesartan	2050502
7338	Aprovel 75mg tablets (Sanofi)	Irbesartan	2050502
31160	IRBESARTAN	0	0
1293	Irbesartan 150mg tablets	Irbesartan	2050502
58108	Irbesartan 150mg tablets (A A H Pharmaceuticals Ltd)	Irbesartan	2050502
58201	Irbesartan 150mg tablets (Actavis UK Ltd)	Irbesartan	2050502
60597	Irbesartan 150mg tablets (Teva UK Ltd)	Irbesartan	2050502
2971	Irbesartan 300mg tablets	Irbesartan	2050502
62415	Irbesartan 300mg tablets (A A H Pharmaceuticals Ltd)	Irbesartan	2050502
55017	Irbesartan 300mg tablets (Accord Healthcare Ltd)	Irbesartan	2050502
63411	Irbesartan 300mg tablets (Alliance Healthcare (Distribution) Ltd)	Irbesartan	2050502
63717	Irbesartan 300mg tablets (DE Pharmaceuticals)	Irbesartan	2050502
59393	Irbesartan 300mg tablets (Sandoz Ltd)	Irbesartan	2050502
52972	Irbesartan 300mg tablets (Sigma Pharmaceuticals Plc)	Irbesartan	2050502
61781	Irbesartan 300mg tablets (Teva UK Ltd)	Irbesartan	2050502
36939	Irbesartan 300mg/5ml oral suspension	Irbesartan	2050502
828	Irbesartan 75mg tablets	Irbesartan	2050502
65065	Irbesartan 75mg tablets (A A H Pharmaceuticals Ltd)	Irbesartan	2050502
52658	Losartan 100mg/5ml oral suspension	0	2050502
63385	Sabervel 75mg tablets (Aspire Pharma Ltd)	Irbesartan	2050502
16701	Carace 10mg tablets (Bristol-Myers Squibb Pharmaceuticals Ltd)	Lisinopril	2050501
10882	Carace 2.5mg tablets (Bristol-Myers Squibb Pharmaceuticals Ltd)	Lisinopril	2050501
12313	Carace 20mg tablets (Bristol-Myers Squibb Pharmaceuticals Ltd)	Lisinopril	2050501
14387	Carace 5mg tablets (Bristol-Myers Squibb Pharmaceuticals Ltd)	Lisinopril	2050501
65	Lisinopril 10mg tablets	Lisinopril	2050501
43416	Lisinopril 10mg tablets (A A H Pharmaceuticals Ltd)	Lisinopril	2050501
55639	Lisinopril 10mg tablets (Accord Healthcare Ltd)	Lisinopril	2050501
45300	Lisinopril 10mg tablets (Actavis UK Ltd)	Lisinopril	2050501
53271	Lisinopril 10mg tablets (Alliance Healthcare (Distribution) Ltd)	Lisinopril	2050501
47159	Lisinopril 10mg tablets (Almus Pharmaceuticals Ltd)	Lisinopril	2050501
54288	Lisinopril 10mg tablets (Arrow Generics Ltd)	Lisinopril	2050501
54928	Lisinopril 10mg tablets (Bristol Laboratories Ltd)	Lisinopril	2050501
63030	Lisinopril 10mg tablets (DE Pharmaceuticals)	Lisinopril	2050501
60010	Lisinopril 10mg tablets (Kent Pharmaceuticals Ltd)	Lisinopril	2050501
33977	Lisinopril 10mg tablets (Mylan Ltd)	Lisinopril	2050501
58863	Lisinopril 10mg tablets (Phoenix Healthcare Distribution Ltd)	Lisinopril	2050501
54037	Lisinopril 10mg tablets (Relonchem Ltd)	Lisinopril	2050501
32597	Lisinopril 10mg tablets (Sandoz Ltd)	Lisinopril	2050501
65102	Lisinopril 10mg tablets (Sigma Pharmaceuticals Plc)	Lisinopril	2050501
19223	Lisinopril 10mg tablets (Teva UK Ltd)	Lisinopril	2050501
58871	Lisinopril 10mg tablets (Waymade Healthcare Plc)	Lisinopril	2050501
57048	Lisinopril 10mg tablets (Zentiva)	Lisinopril	2050501
62564	Lisinopril 10mg/5ml oral solution	Lisinopril	2050501
63824	Lisinopril 10mg/5ml oral suspension	Lisinopril	2050501
277	Lisinopril 2.5mg tablets	Lisinopril	2050501
43412	Lisinopril 2.5mg tablets (A A H Pharmaceuticals Ltd)	Lisinopril	2050501
55896	Lisinopril 2.5mg tablets (Actavis UK Ltd)	Lisinopril	2050501
65536	Lisinopril 2.5mg tablets (Alliance Healthcare (Distribution) Ltd)	Lisinopril	2050501
58451	Lisinopril 2.5mg tablets (Almus Pharmaceuticals Ltd)	Lisinopril	2050501
65985	Lisinopril 2.5mg tablets (DE Pharmaceuticals)	Lisinopril	2050501
58461	Lisinopril 2.5mg tablets (Kent Pharmaceuticals Ltd)	Lisinopril	2050501
65983	Lisinopril 2.5mg tablets (Lupin (Europe) Ltd)	Lisinopril	2050501
58682	Lisinopril 2.5mg tablets (Mylan Ltd)	Lisinopril	2050501
43566	Lisinopril 2.5mg tablets (Sandoz Ltd)	Lisinopril	2050501
30921	Lisinopril 2.5mg tablets (Teva UK Ltd)	Lisinopril	2050501
66772	Lisinopril 2.5mg tablets (Waymade Healthcare Plc)	Lisinopril	2050501
60097	Lisinopril 2.5mg tablets (Zentiva)	Lisinopril	2050501
56279	Lisinopril 2.5mg/5ml oral solution	Lisinopril	2050501
58258	Lisinopril 2.5mg/5ml oral suspension	Lisinopril	2050501
69	Lisinopril 20mg tablets	Lisinopril	2050501
43413	Lisinopril 20mg tablets (A A H Pharmaceuticals Ltd)	Lisinopril	2050501
55002	Lisinopril 20mg tablets (Accord Healthcare Ltd)	Lisinopril	2050501
45324	Lisinopril 20mg tablets (Actavis UK Ltd)	Lisinopril	2050501
59111	Lisinopril 20mg tablets (Alliance Healthcare (Distribution) Ltd)	Lisinopril	2050501
61262	Lisinopril 20mg tablets (Bristol Laboratories Ltd)	Lisinopril	2050501
66622	Lisinopril 20mg tablets (DE Pharmaceuticals)	Lisinopril	2050501
63559	Lisinopril 20mg tablets (Kent Pharmaceuticals Ltd)	Lisinopril	2050501
34696	Lisinopril 20mg tablets (Mylan Ltd)	Lisinopril	2050501
53551	Lisinopril 20mg tablets (Phoenix Healthcare Distribution Ltd)	Lisinopril	2050501
46979	Lisinopril 20mg tablets (Sandoz Ltd)	Lisinopril	2050501
55588	Lisinopril 20mg tablets (Sigma Pharmaceuticals Plc)	Lisinopril	2050501
19198	Lisinopril 20mg tablets (Teva UK Ltd)	Lisinopril	2050501
51433	Lisinopril 20mg tablets (Tillomed Laboratories Ltd)	Lisinopril	2050501
34799	Lisinopril 20mg tablets (Zentiva)	Lisinopril	2050501
78	Lisinopril 5mg tablets	Lisinopril	2050501
43418	Lisinopril 5mg tablets (A A H Pharmaceuticals Ltd)	Lisinopril	2050501
58294	Lisinopril 5mg tablets (Accord Healthcare Ltd)	Lisinopril	2050501
45337	Lisinopril 5mg tablets (Actavis UK Ltd)	Lisinopril	2050501
55456	Lisinopril 5mg tablets (Alliance Healthcare (Distribution) Ltd)	Lisinopril	2050501
45816	Lisinopril 5mg tablets (Almus Pharmaceuticals Ltd)	Lisinopril	2050501
53820	Lisinopril 5mg tablets (Arrow Generics Ltd)	Lisinopril	2050501
66558	Lisinopril 5mg tablets (DE Pharmaceuticals)	Lisinopril	2050501
65416	Lisinopril 5mg tablets (Lupin (Europe) Ltd)	Lisinopril	2050501
34471	Lisinopril 5mg tablets (Mylan Ltd)	Lisinopril	2050501
